rating, material1, material2, time_in_seconds
5, G4CompressedWoodVersion1, G1ProfiledAluminumPlate, 1662.615589
3, G1ProfiledAluminumPlate, G6Carpet, 17.302148
6, G4Bamboo, G9TextileVersion3, 17.57384
3, G9TextileVersion3, G8PlayingCardPaper, 244.724214
6, G2CrushedRock, G6Carpet, 18.638528
4, G2StoneTileVersion2, G6Towel, 11.404844
6, G2StoneTileVersion2, G6Carpet, 61.101094
4, G4Bamboo, G2CrushedRock, 12.949792
3, G8GlitterPaperVersion2, G3Brass, 14.304474
6, G2StoneTileVersion3, G4Teak, 22.135318
3, G6Towel, G8GlitterPaperVersion2, 10.983464
4, G3StainlessSteel, G4Larch, 9.506856
3, G3StainlessSteel, G8Paper, 9.369606
5, G9TextileVersion3, G2StoneTileVersion1, 7.24377
2, G6Towel, G3Brass, 9.588798
3, G6Carpet, G9RedFleeze, 7.583186
4, G2StoneTileVersion3, G9GreenVelvet, 9.231137
4, G2StoneTileVersion2, G2StoneTileVersion3, 23.551057
6, G4CompressedWoodVersion1, G9TextileVersion3, 517.351067
7, G4LaminatedWood, G2StoneTileVersion1, 10.979716
5, G2Marble, G2CrushedRock, 7.640046
4, G4Teak, G8GlitterPaperVersion1, 6.856459
4, G2CrushedRock, G4WoodenPaper, 29.638456
3, G9RedVelvet, G3AluminumPlate, 7.646101
5, G3Brass, G4CherryTree, 6.458831
5, G3StainlessSteel, G4CherryTree, 10.166002
3, G2CrushedRock, G9RedVelvet, 19.925017
2, G8GlitterPaperVersion2, G8PlayingCardPaper, 9.824466
3, G8GlitterPaperVersion2, G8RoughPaper, 5.550541
3, G8PlayingCardPaper, G9RedFleeze, 7.381395
4, G4Larch, G9RedVelvet, 19.051254
6, G9GreenVelvet, G4LaminatedWood, 855.720249
5, G9TableClothVersion2, G2Marble, 6.233595
3, G6Towel, G6Carpet, 9.666427
3, G9TableClothVersion2, G6Carpet, 7.761772
4, G4Teak, G4CherryTree, 5.393808
4, G4Larch, G3AluminumPlate, 7.164401
5, G4CompressedWoodVersion1, G2CrushedRock, 7.408161
4, G4CompressedWoodVersion1, G9TextileVersion4, 9.124529
5, G9TableClothVersion2, G2StoneTileVersion1, 7.000072
4, G9TextileVersion3, G2CrushedRock, 6.542272
5, G2StoneTileVersion3, G4WoodenPaper, 12.866352
5, G2StoneTileVersion2, G8Paper, 11.431143
4, G2StoneTileVersion2, G9GreenVelvet, 7.607138
3, G8PlayingCardPaper, G9TextileVersion4, 7.12003
4, G2CrushedRock, G9TextileVersion4, 2134.167982
2, G9GreenVelvet, G8PlayingCardPaper, 7.861598
3, G8GlitterPaperVersion2, G3AluminumPlate, 7.058446
5, G2StoneTileVersion3, G4Bamboo, 5.038848
4, G9TableClothVersion2, G4LaminatedWood, 7.261594
5, G2StoneTileVersion1, G8GlitterPaperVersion1, 19.309248
4, G3Copper, G4Bamboo, 8.093952
3, G8PlayingCardPaper, G8GlitterPaperVersion1, 6.151413
6, G8RoughPaper, G4CherryTree, 8.641859
4, G3Copper, G8Paper, 5.604538
4, G4Bamboo, G9Jeans, 6.66874
3, G8RoughPaper, G9RedFleeze, 6.401564
4, G3Copper, G8GlitterPaperVersion1, 7.834104
4, G9GreenVelvet, G4Bamboo, 237.848867
5, G9TableClothVersion2, G4WoodenPaper, 292.928666
5, G9TableClothVersion2, G2CrushedRock, 32.649366
4, G8GlitterPaperVersion2, G9TextileVersion3, 6.420581
4, G8GlitterPaperVersion2, G2CrushedRock, 9.437072
6, G2StoneTileVersion1, G4CherryTree, 7.842638
4, G8GlitterPaperVersion1, G8RoughPaper, 11.470981
6, G2CrushedRock, G8RoughPaper, 1010.232342
4, G6Towel, G8GlitterPaperVersion1, 79.976488
5, G8Paper, G4Larch, 12.688937
6, G3StainlessSteel, G4WoodenPaper, 9.18035
7, G8PlayingCardPaper, G4ProfiledWoodPlate, 9.060873
6, G2CrushedRock, G4Larch, 5.631111
5, G2StoneTileVersion3, G2Marble, 10.026821
3, G3Brass, G8PlayingCardPaper, 64.004663
6, G3Copper, G2Marble, 6.35492
7, G2StoneTileVersion3, G4LaminatedWood, 8.813147
5, G9GreenVelvet, G4Teak, 7.047117
5, G9TableClothVersion2, G3Copper, 874.472045
6, G2CrushedRock, G4CherryTree, 13.771427
5, G4CompressedWoodVersion1, G4Bamboo, 146.611177
6, G2StoneTileVersion2, G4Larch, 8.742437
5, G6Towel, G4LaminatedWood, 10.374574
6, G3Copper, G8RoughPaper, 18.987656
6, G2StoneTileVersion2, G3Brass, 8.244872
5, G2StoneTileVersion1, G9RedVelvet, 92.830468
6, G4WoodenPaper, G1ProfiledAluminumPlate, 101.485551
7, G9GreenVelvet, G6Carpet, 26.815019
6, G3Brass, G9Jeans, 11.849924
