rating, material1, material2, time_in_seconds
3, G9GreenVelvet, G3AluminumPlate, 1535.985294
2, G8Paper, G4CherryTree, 71.148977
3, G6Carpet, G9RedFleeze, 39.012391
2, G2Marble, G8PlayingCardPaper, 46.606364
2, G8Paper, G2CrushedRock, 22.765539
4, G9GreenVelvet, G4LaminatedWood, 34.193685
5, G3Brass, G4Teak, 17.207587
4, G9TableClothVersion2, G1ProfiledAluminumPlate, 35.384834
7, G8Paper, G4LaminatedWood, 26.144906
6, G9TableClothVersion2, G3Brass, 16.801198
3, G8GlitterPaperVersion2, G9TableClothVersion2, 23.657066
1, G3Brass, G2CrushedRock, 19.564937
1, G2CrushedRock, G8RoughPaper, 14.999433
7, G4Bamboo, G4ProfiledWoodPlate, 183.90319
1, G1ProfiledAluminumPlate, G8RoughPaper, 12.750143
2, G9GreenVelvet, G2StoneTileVersion1, 17.962753
7, G9TableClothVersion2, G9Jeans, 13.841489
6, G4WoodenPaper, G9RedVelvet, 35.047457
4, G2StoneTileVersion2, G4WoodenPaper, 17.652979
2, G9Jeans, G4ProfiledWoodPlate, 3405.430758
7, G8Paper, G4Bamboo, 19.025761
4, G8GlitterPaperVersion2, G4CompressedWoodVersion1, 650.599088
2, G8Paper, G9Jeans, 17.622194
7, G9GreenVelvet, G4Bamboo, 186.065147
7, G8GlitterPaperVersion2, G3Brass, 35.420755
6, G9RedFleeze, G3AluminumPlate, 36.862076
3, G9Jeans, G4LaminatedWood, 21.156514
1, G2CrushedRock, G3AluminumPlate, 11.372955
6, G4Bamboo, G8GlitterPaperVersion1, 100.508786
4, G3Brass, G4Bamboo, 44.202897
1, G6Towel, G2Brick, 14.347821
4, G2StoneTileVersion3, G4Bamboo, 148.59173
2, G8Paper, G4ProfiledWoodPlate, 3303.544445
7, G9RedVelvet, G3AluminumPlate, 15.931208
2, G1ProfiledAluminumPlate, G4CherryTree, 24.988752
5, G2CrushedRock, G4CherryTree, 23.537399
7, G4CompressedWoodVersion1, G9Jeans, 17.857365
2, G6Towel, G2StoneTileVersion3, 18.832351
8, G9TableClothVersion2, G9TextileVersion3, 207.598063
8, G4WoodenPaper, G4ProfiledWoodPlate, 24.50951
2, G4ProfiledWoodPlate, G8RoughPaper, 11.731594
4, G6Towel, G9Jeans, 206.82481
