rating, material1, material2, time_in_seconds
2, G2StoneTileVersion2, G6Carpet, 326.649009
1, G2CrushedRock, G4CherryTree, 60.595464
6, G2StoneTileVersion3, G9RedVelvet, 48.003947
3, G3Brass, G2Brick, 48.693962
6, G3Brass, G9TextileVersion4, 241.76416
8, G3Copper, G8PlayingCardPaper, 61.798695
5, G3Brass, G4Teak, 102.83142
1, G3Copper, G6Carpet, 55.050733
6, G9TableClothVersion2, G3AluminumPlate, 61.283543
8, G3StainlessSteel, G4LaminatedWood, 43.156392
5, G3StainlessSteel, G4CompressedWoodVersion1, 81.274667
7, G4CompressedWoodVersion1, G4ProfiledWoodPlate, 86.842883
7, G9GreenVelvet, G9RedFleeze, 269.749186
9, G3StainlessSteel, G3AluminumPlate, 15.046949
8, G8Paper, G9Jeans, 53.444112
2, G3StainlessSteel, G6Towel, 45.637829
8, G3StainlessSteel, G8PlayingCardPaper, 33.064449
7, G8Paper, G9TextileVersion4, 64.269476
2, G1ProfiledAluminumPlate, G6Carpet, 30.700079
7, G4Larch, G4CherryTree, 76.470281
7, G9GreenVelvet, G9Jeans, 27.138712
4, G3Brass, G9RedVelvet, 36.407436
2, G2StoneTileVersion3, G8Paper, 520.007309
6, G2Brick, G8GlitterPaperVersion1, 124.679978
4, G4ProfiledWoodPlate, G1ProfiledAluminumPlate, 470.41036
6, G9TableClothVersion2, G4Teak, 223.695825
2, G3StainlessSteel, G2StoneTileVersion1, 79.962646
2, G2StoneTileVersion1, G9RedFleeze, 92.545662
7, G8PlayingCardPaper, G4ProfiledWoodPlate, 33.614693
4, G2CrushedRock, G9Jeans, 55.927373
2, G6Towel, G4Teak, 415.239353
2, G2Brick, G4LaminatedWood, 54.628088
6, G9TableClothVersion2, G2StoneTileVersion1, 141.130173
6, G4CompressedWoodVersion1, G1ProfiledAluminumPlate, 126.950018
4, G3Brass, G4Larch, 32.608861
4, G8GlitterPaperVersion2, G3Copper, 1801.970116
7, G4ProfiledWoodPlate, G9RedFleeze, 154.780228
6, G4Larch, G9RedFleeze, 158.256765
2, G3Brass, G6Carpet, 15.755235
8, G2StoneTileVersion3, G2Brick, 34.773443
6, G2StoneTileVersion3, G9GreenVelvet, 93.841439
4, G4CompressedWoodVersion1, G4CherryTree, 51.017714
7, G2StoneTileVersion3, G8RoughPaper, 60.145388
7, G2StoneTileVersion2, G2Brick, 11.081902
6, G8Paper, G4CherryTree, 610.923911
5, G8GlitterPaperVersion2, G4Bamboo, 68.281359
2, G8GlitterPaperVersion2, G3AluminumPlate, 1481.795897
6, G2CrushedRock, G8GlitterPaperVersion1, 16.494263
3, G9TextileVersion3, G2CrushedRock, 40.074595
7, G4ProfiledWoodPlate, G2StoneTileVersion1, 62.826817
7, G6Carpet, G9RedFleeze, 15.428499
4, G2CrushedRock, G4WoodenPaper, 16.057552
5, G9GreenVelvet, G4WoodenPaper, 52.821061
5, G3StainlessSteel, G8GlitterPaperVersion1, 49.941708
6, G9TextileVersion4, G6Carpet, 10.95991
7, G9Jeans, G8RoughPaper, 1054.27911
3, G9RedFleeze, G3AluminumPlate, 14.055431
5, G9TextileVersion3, G9RedVelvet, 271.380714
8, G9GreenVelvet, G8PlayingCardPaper, 65.243314
6, G2StoneTileVersion2, G4Bamboo, 36.471816
7, G9TextileVersion3, G4WoodenPaper, 11.094159
2, G2CrushedRock, G3AluminumPlate, 8.917928
6, G8GlitterPaperVersion2, G9RedVelvet, 37.452415
8, G4ProfiledWoodPlate, G4CherryTree, 10.729619
4, G9Jeans, G4CherryTree, 275.310176
7, G3Copper, G9GreenVelvet, 285.911261
5, G4LaminatedWood, G9RedVelvet, 19.251247
4, G8PlayingCardPaper, G6Carpet, 74.823026
7, G3Brass, G2Marble, 11.532123
4, G4Larch, G6Carpet, 14.419727
6, G2StoneTileVersion3, G8GlitterPaperVersion1, 11.127166
6, G8Paper, G9TextileVersion3, 191.727604
4, G3Brass, G2StoneTileVersion3, 13.530239
3, G2Brick, G8PlayingCardPaper, 12.761126
7, G9Jeans, G9RedFleeze, 10.006461
7, G2Marble, G9GreenVelvet, 17.336337
5, G6Carpet, G9RedVelvet, 963.084435
