rating, material1, material2, time_in_seconds
2, G9GreenVelvet, G9TextileVersion3, 9.935438
5, G8GlitterPaperVersion1, G8PlayingCardPaper, 7.307774
7, G4Larch, G4WoodenPaper, 9.358425
2, G4Bamboo, G6Towel, 6.634168
4, G6Towel, G9TableClothVersion2, 10.695344
2, G3Copper, G4ProfiledWoodPlate, 6.046465
6, G8GlitterPaperVersion1, G9TableClothVersion2, 8.319425
5, G9Jeans, G9TableClothVersion2, 11.123181
6, G2Brick, G8RoughPaper, 8.276978
5, G3Brass, G4Bamboo, 11.007595
6, G4LaminatedWood, G8RoughPaper, 5.490264
2, G8Paper, G2Marble, 4.237791
4, G8GlitterPaperVersion1, G1ProfiledAluminumPlate, 9.694981
3, G3AluminumPlate, G8Paper, 5.93049
4, G3Copper, G4Larch, 9.190682
4, G8GlitterPaperVersion1, G2CrushedRock, 5.915178
7, G8GlitterPaperVersion2, G4LaminatedWood, 10.955497
2, G8RoughPaper, G9TableClothVersion2, 5.202282
3, G9TextileVersion4, G1ProfiledAluminumPlate, 9.411409
4, G2StoneTileVersion3, G3Brass, 7.950078
7, G9RedFleeze, G2StoneTileVersion2, 10.73651
2, G9RedFleeze, G8GlitterPaperVersion1, 11.663975
6, G3StainlessSteel, G4Teak, 9.125272
7, G8GlitterPaperVersion1, G6Carpet, 7.451161
3, G4LaminatedWood, G3StainlessSteel, 7.229192
3, G4CherryTree, G1ProfiledAluminumPlate, 8.818599
3, G4ProfiledWoodPlate, G2StoneTileVersion2, 6.23903
6, G8RoughPaper, G2StoneTileVersion2, 7.064764
6, G9TextileVersion4, G2StoneTileVersion1, 9.903266
5, G3Brass, G1ProfiledAluminumPlate, 4.962596
4, G4Bamboo, G9RedVelvet, 6.746266
5, G4CherryTree, G4LaminatedWood, 9.321869
5, G3StainlessSteel, G2StoneTileVersion1, 7.974882
3, G2CrushedRock, G4Larch, 4.907162
2, G9GreenVelvet, G2CrushedRock, 4.104529
5, G9RedFleeze, G9TextileVersion3, 7.634362
7, G2CrushedRock, G2StoneTileVersion1, 10.208826
7, G2StoneTileVersion3, G4WoodenPaper, 11.586014
7, G3Brass, G4LaminatedWood, 11.286428
4, G3Brass, G4WoodenPaper, 9.753749
4, G3AluminumPlate, G9TextileVersion3, 6.461969
5, G6Carpet, G2CrushedRock, 5.903622
5, G4CherryTree, G2Marble, 8.182889
5, G8Paper, G2StoneTileVersion3, 6.204159
7, G9TextileVersion4, G9TextileVersion3, 8.828484
5, G2Marble, G4Teak, 7.073356
8, G8GlitterPaperVersion1, G2Brick, 5.220618
7, G3Brass, G9TableClothVersion2, 10.745099
3, G6Towel, G4ProfiledWoodPlate, 4.609808
8, G2CrushedRock, G9Jeans, 10.277934
5, G4ProfiledWoodPlate, G1ProfiledAluminumPlate, 8.862579
3, G8GlitterPaperVersion1, G9GreenVelvet, 8.797551
2, G9Jeans, G6Towel, 4.278434
4, G3StainlessSteel, G4ProfiledWoodPlate, 10.181581
6, G4CompressedWoodVersion1, G4ProfiledWoodPlate, 7.225693
4, G9RedVelvet, G2StoneTileVersion1, 11.314681
7, G2StoneTileVersion3, G8PlayingCardPaper, 6.900686
4, G8PlayingCardPaper, G2Marble, 4.25634
8, G2Brick, G9Jeans, 7.61477
3, G8PlayingCardPaper, G9TableClothVersion2, 6.183856
3, G4Teak, G2StoneTileVersion2, 11.842628
6, G9GreenVelvet, G4WoodenPaper, 10.442227
5, G4CompressedWoodVersion1, G4Teak, 7.267834
6, G9GreenVelvet, G1ProfiledAluminumPlate, 4.160007
4, G4Bamboo, G4WoodenPaper, 10.166965
3, G4Bamboo, G9TextileVersion4, 6.170856
4, G4CompressedWoodVersion1, G6Towel, 7.812449
7, G6Towel, G4Teak, 10.331149
5, G3Brass, G9Jeans, 5.053023
4, G2CrushedRock, G9TextileVersion3, 10.808777
6, G8Paper, G4Larch, 5.584046
8, G8PlayingCardPaper, G8RoughPaper, 7.627102
4, G2StoneTileVersion1, G4WoodenPaper, 5.026981
5, G9TextileVersion4, G4CherryTree, 7.210499
6, G4CompressedWoodVersion1, G9TextileVersion4, 6.263043
6, G2StoneTileVersion2, G4WoodenPaper, 6.683239
5, G3AluminumPlate, G4ProfiledWoodPlate, 5.705666
2, G4CompressedWoodVersion1, G4LaminatedWood, 7.568512
8, G8PlayingCardPaper, G4Teak, 9.759738
4, G9RedFleeze, G4Bamboo, 11.2567
7, G4Teak, G2StoneTileVersion1, 9.257091
5, G9TextileVersion4, G2StoneTileVersion2, 11.702977
5, G4Bamboo, G8RoughPaper, 8.964131
5, G6Carpet, G9RedVelvet, 6.184522
3, G4CompressedWoodVersion1, G9RedVelvet, 10.534276
3, G9RedFleeze, G3AluminumPlate, 11.816999
2, G3Brass, G8PlayingCardPaper, 4.467604
7, G8GlitterPaperVersion2, G4CherryTree, 11.409093
7, G8Paper, G8RoughPaper, 10.614054
4, G9RedFleeze, G1ProfiledAluminumPlate, 4.054249
8, G9RedFleeze, G9GreenVelvet, 4.540554
7, G9TextileVersion4, G4WoodenPaper, 7.931392
3, G9RedFleeze, G8RoughPaper, 11.328469
7, G4ProfiledWoodPlate, G9TableClothVersion2, 4.908004
2, G8GlitterPaperVersion2, G4Teak, 6.273709
8, G8GlitterPaperVersion1, G4CherryTree, 4.381449
5, G6Carpet, G9TextileVersion3, 7.178695
5, G8GlitterPaperVersion2, G4ProfiledWoodPlate, 5.436611
7, G9TextileVersion4, G4Larch, 11.858215
6, G2CrushedRock, G1ProfiledAluminumPlate, 10.980273
2, G4Bamboo, G9TextileVersion3, 8.304315
8, G4LaminatedWood, G4Larch, 7.070737
5, G8PlayingCardPaper, G9TextileVersion3, 9.943115
8, G8Paper, G6Carpet, 10.395026
5, G4WoodenPaper, G1ProfiledAluminumPlate, 11.867359
3, G2Brick, G3Copper, 5.471725
2, G8GlitterPaperVersion1, G3Brass, 10.953492
2, G3Copper, G8PlayingCardPaper, 5.236145
4, G8GlitterPaperVersion1, G4Teak, 5.926058
4, G4LaminatedWood, G9TableClothVersion2, 4.926275
2, G8Paper, G4CherryTree, 5.078063
3, G4LaminatedWood, G2StoneTileVersion1, 5.194737
5, G9RedFleeze, G8Paper, 4.711121
6, G8Paper, G3StainlessSteel, 10.326096
4, G4LaminatedWood, G9RedVelvet, 6.862472
5, G2Brick, G9TableClothVersion2, 4.521405
3, G9GreenVelvet, G3StainlessSteel, 6.172704
3, G8GlitterPaperVersion2, G4Bamboo, 4.241465
4, G2CrushedRock, G6Towel, 7.428451
8, G8GlitterPaperVersion1, G8Paper, 6.009382
2, G8GlitterPaperVersion1, G9RedVelvet, 11.093293
7, G9RedFleeze, G4Teak, 9.36466
8, G2CrushedRock, G2StoneTileVersion2, 8.885103
8, G6Carpet, G3Brass, 6.199221
8, G3Brass, G3StainlessSteel, 9.536998
2, G3Copper, G9TableClothVersion2, 4.387336
7, G9GreenVelvet, G6Carpet, 9.886001
3, G4Larch, G9TableClothVersion2, 5.462571
3, G6Towel, G1ProfiledAluminumPlate, 10.75319
5, G2Brick, G4Teak, 8.849636
4, G6Carpet, G8PlayingCardPaper, 7.994915
8, G9GreenVelvet, G4CherryTree, 9.17675
4, G2StoneTileVersion1, G9TextileVersion3, 5.766633
5, G4LaminatedWood, G9TextileVersion3, 9.130024
8, G2Brick, G8GlitterPaperVersion2, 5.370938
7, G2StoneTileVersion3, G8RoughPaper, 10.695886
7, G8Paper, G8GlitterPaperVersion2, 9.068443
7, G8Paper, G4CompressedWoodVersion1, 5.55305
8, G8Paper, G3Brass, 5.364627
2, G2Brick, G3StainlessSteel, 7.300172
6, G2Brick, G4WoodenPaper, 5.496682
2, G1ProfiledAluminumPlate, G9TextileVersion3, 6.700301
8, G3Copper, G9RedVelvet, 4.165574
7, G8GlitterPaperVersion2, G3Copper, 5.808608
8, G9Jeans, G4Larch, 11.684439
8, G8PlayingCardPaper, G1ProfiledAluminumPlate, 5.208634
5, G8GlitterPaperVersion2, G8RoughPaper, 10.754999
7, G3Copper, G6Towel, 7.86608
3, G8GlitterPaperVersion2, G4Larch, 9.876516
5, G2CrushedRock, G4LaminatedWood, 11.211183
8, G6Towel, G4Larch, 4.467184
2, G9Jeans, G4WoodenPaper, 4.592355
4, G8RoughPaper, G3StainlessSteel, 7.38997
8, G6Towel, G8PlayingCardPaper, 7.929239
4, G9GreenVelvet, G4Bamboo, 7.603801
3, G8RoughPaper, G4Teak, 11.088601
3, G3Copper, G2StoneTileVersion1, 11.210753
8, G4Bamboo, G4Larch, 10.258044
7, G4Bamboo, G2StoneTileVersion1, 4.176343
