rating, material1, material2, time_in_seconds
5, G8GlitterPaperVersion2, G6Carpet, 17.576207
2, G6Towel, G8RoughPaper, 14.027083
1, G9Jeans, G4ProfiledWoodPlate, 15.504165
1, G8Paper, G9TextileVersion3, 10.228259
1, G6Towel, G4CherryTree, 6.655624
7, G3Copper, G9Jeans, 10.228521
1, G9GreenVelvet, G9TextileVersion3, 7.395089
2, G9TableClothVersion2, G2StoneTileVersion1, 8.972828
6, G9TextileVersion3, G8GlitterPaperVersion1, 15.042348
3, G2Marble, G4Bamboo, 10.566801
1, G6Towel, G2Brick, 10.282423
6, G2Marble, G4Teak, 9.243893
1, G8PlayingCardPaper, G4LaminatedWood, 8.85218
8, G8Paper, G6Carpet, 10.28242
1, G1ProfiledAluminumPlate, G6Carpet, 7.978354
5, G4ProfiledWoodPlate, G4CherryTree, 8.455179
4, G9TextileVersion3, G3AluminumPlate, 8.173893
6, G4CompressedWoodVersion1, G4Larch, 8.765717
7, G3Copper, G9GreenVelvet, 13.281802
6, G8GlitterPaperVersion1, G8RoughPaper, 8.157521
1, G2Marble, G2CrushedRock, 12.334724
4, G3Brass, G4ProfiledWoodPlate, 9.379765
1, G6Towel, G4LaminatedWood, 9.55354
8, G6Towel, G8GlitterPaperVersion1, 8.819827
3, G3StainlessSteel, G9Jeans, 7.708742
3, G2StoneTileVersion2, G9TextileVersion3, 14.439706
2, G2Brick, G9RedFleeze, 13.892207
6, G2CrushedRock, G4Larch, 10.22049
8, G2StoneTileVersion3, G4CherryTree, 7.165608
6, G9TableClothVersion2, G8Paper, 8.460159
7, G2Marble, G2StoneTileVersion1, 8.024574
7, G8Paper, G4Teak, `3.475225
6, G3Brass, G2Brick, 19.009814
4, G2StoneTileVersion3, G2Marble, 7.637716
1, G9Jeans, G1ProfiledAluminumPlate, 6.833434
6, G4ProfiledWoodPlate, G9RedVelvet, 10.812244
6, G8PlayingCardPaper, G4WoodenPaper, 12.900624
5, G2StoneTileVersion3, G2CrushedRock, 9.476481
6, G4CherryTree, G9RedVelvet, 7.35713
3, G4Teak, G4ProfiledWoodPlate, 8.992307
