rating, material1, material2, time_in_seconds
2, G2CrushedRock, G8RoughPaper, 59.043666
1, G9TextileVersion3, G4WoodenPaper, 24.663122
4, G8GlitterPaperVersion2, G2StoneTileVersion3, 18.539705
8, G4CompressedWoodVersion1, G9TextileVersion3, 356.606897
8, G2CrushedRock, G4ProfiledWoodPlate, 18.945587
6, G8GlitterPaperVersion2, G6Carpet, 1565.416624
7, G2StoneTileVersion2, G9TextileVersion3, 330.237019
2, G3Brass, G9RedVelvet, 5923.9236
6, G6Towel, G4CherryTree, 18.411216
4, G2Brick, G4WoodenPaper, 45.31143
7, G9GreenVelvet, G4ProfiledWoodPlate, 15.17332
6, G2StoneTileVersion2, G2StoneTileVersion1, 14.214831
9, G3StainlessSteel, G8Paper, 10.242133
6, G2StoneTileVersion2, G2StoneTileVersion3, 15.234996
2, G2Marble, G8Paper, 15.041972
3, G9Jeans, G3AluminumPlate, 17.215892
5, G8RoughPaper, G6Carpet, 12.658521
6, G2StoneTileVersion2, G3Copper, 12.474858
8, G2CrushedRock, G4WoodenPaper, 12.174276
7, G8GlitterPaperVersion1, G9RedVelvet, 118.425803
4, G8PlayingCardPaper, G4LaminatedWood, 29.422356
7, G4Teak, G4ProfiledWoodPlate, 138.913874
6, G8RoughPaper, G3AluminumPlate, 26.090582
7, G2CrushedRock, G9TextileVersion4, 38749.463657
5, G9Jeans, G4CherryTree, 14.959037
2, G2StoneTileVersion2, G9GreenVelvet, 13.215135
3, G8Paper, G4WoodenPaper, 14.42512
6, G4Bamboo, G8GlitterPaperVersion1, 13.506901
3, G2StoneTileVersion2, G3AluminumPlate, 15.289084
6, G2StoneTileVersion2, G2CrushedRock, 12.897997
8, G3StainlessSteel, G6Carpet, 13.485198
3, G8PlayingCardPaper, G8GlitterPaperVersion1, 14.601041
1, G8GlitterPaperVersion2, G4CompressedWoodVersion1, 14.257017
1, G2Brick, G9Jeans, 14.324346
2, G9TableClothVersion2, G2Marble, 40.434035
2, G9Jeans, G2StoneTileVersion1, 13.298664
3, G4CompressedWoodVersion1, G8GlitterPaperVersion1, 10.031071
4, G2Brick, G9TextileVersion4, 11.078371
4, G9TextileVersion4, G8GlitterPaperVersion1, 9.425525
1, G2Marble, G4Larch, 11.034602
6, G4Teak, G8RoughPaper, 13.365721
8, G9TextileVersion3, G4Teak, 8.641905
5, G4WoodenPaper, G4Teak, 62.819978
9, G2StoneTileVersion3, G1ProfiledAluminumPlate, 13.395628
6, G2CrushedRock, G4LaminatedWood, 10.20517
8, G4Larch, G8GlitterPaperVersion1, 10.167044
3, G4LaminatedWood, G8GlitterPaperVersion1, 11.280485
1, G2StoneTileVersion2, G4WoodenPaper, 14.677756
8, G2Brick, G1ProfiledAluminumPlate, 27646.994636
7, G8GlitterPaperVersion2, G4Larch, 14.017194
2, G2StoneTileVersion3, G2StoneTileVersion1, 11.628767
9, G6Towel, G3Copper, 17.899735
6, G4ProfiledWoodPlate, G9RedVelvet, 17.869571
5, G4Bamboo, G4Larch, 14.046873
4, G4CompressedWoodVersion1, G9Jeans, 14.840226
7, G2StoneTileVersion1, G1ProfiledAluminumPlate, 313.658646
2, G9GreenVelvet, G8PlayingCardPaper, 13.236928
3, G3StainlessSteel, G8PlayingCardPaper, 24.554593
3, G4CompressedWoodVersion1, G4Teak, 46.312282
2, G2StoneTileVersion2, G4Teak, 14.351544
3, G8GlitterPaperVersion2, G8RoughPaper, 256.537886
6, G9TextileVersion4, G2StoneTileVersion1, 11.305531
2, G8Paper, G2StoneTileVersion1, 39.189965
1, G8Paper, G9RedVelvet, 47.46142
4, G4CompressedWoodVersion1, G8Paper, 10.610937
7, G9TextileVersion3, G4CherryTree, 23.073526
4, G4CherryTree, G3AluminumPlate, 19.00207
8, G3Brass, G4Teak, 15.267444
9, G9TableClothVersion2, G4Larch, 13.090099
7, G4ProfiledWoodPlate, G1ProfiledAluminumPlate, 61.993466
9, G4Teak, G6Carpet, 14.5471
3, G4WoodenPaper, G4ProfiledWoodPlate, 30.693919
8, G2CrushedRock, G6Carpet, 1294.013907
3, G8GlitterPaperVersion2, G4CherryTree, 10.042875
7, G4Teak, G9RedFleeze, 79.517841
6, G4Bamboo, G9RedVelvet, 5359.493223
2, G2StoneTileVersion3, G8Paper, 8.779854
8, G6Towel, G4Bamboo, 7.357603
4, G8PlayingCardPaper, G6Carpet, 9.112471
7, G4WoodenPaper, G6Carpet, 9.112915
3, G2StoneTileVersion2, G9TextileVersion4, 10.929443
