rating, material1, material2, time_in_seconds
6, G9RedFleeze, G9RedVelvet, 37.338908
7, G8Paper, G8GlitterPaperVersion1, 27.646818
3, G3Brass, G4Teak, 31.698794
4, G9TextileVersion3, G2Brick, 53.319603
2, G9TableClothVersion2, G4Teak, 18.470574
8, G4CompressedWoodVersion1, G4CherryTree, 22.625429
7, G4LaminatedWood, G8GlitterPaperVersion1, 64.205671
2, G2Marble, G9GreenVelvet, 47.793108
2, G2StoneTileVersion2, G8GlitterPaperVersion2, 39.389022
1, G2Marble, G8GlitterPaperVersion1, 16.725952
1, G3Copper, G4LaminatedWood, 18.43494
6, G8PlayingCardPaper, G4Larch, 33.716448
3, G4CompressedWoodVersion1, G8PlayingCardPaper, 44.3088
7, G8GlitterPaperVersion2, G3Brass, 20.863578
7, G3StainlessSteel, G2StoneTileVersion1, 33.783555
1, G9TextileVersion3, G3AluminumPlate, 20.734824
8, G2CrushedRock, G8PlayingCardPaper, 30.390664
4, G9Jeans, G4ProfiledWoodPlate, 44.644871
9, G1ProfiledAluminumPlate, G4CherryTree, 22.559916
2, G2CrushedRock, G1ProfiledAluminumPlate, 16.512778
7, G3StainlessSteel, G3AluminumPlate, 26.30698
7, G3StainlessSteel, G8GlitterPaperVersion1, 30.327185
1, G6Towel, G4ProfiledWoodPlate, 25.322092
1, G3StainlessSteel, G2StoneTileVersion3, 20.781385
6, G4LaminatedWood, G2StoneTileVersion1, 18.409846
2, G4CompressedWoodVersion1, G2StoneTileVersion1, 17.292681
8, G2StoneTileVersion2, G2Marble, 35.417106
7, G3Brass, G9TextileVersion3, 17.750246
2, G2StoneTileVersion2, G9TextileVersion3, 38.582229
1, G9TableClothVersion2, G1ProfiledAluminumPlate, 36.736875
1, G2StoneTileVersion1, G8GlitterPaperVersion1, 55.95985
1, G2Marble, G8Paper, 56.000192
2, G4CompressedWoodVersion1, G3AluminumPlate, 20.460322
9, G4CompressedWoodVersion1, G4Teak, 15.793244
4, G3StainlessSteel, G4Teak, 27.251157
7, G2Brick, G4ProfiledWoodPlate, 73.057397
7, G2CrushedRock, G9RedFleeze, 39.94389
