rating, material1, material2, time_in_seconds
6, G8GlitterPaperVersion2, G9TextileVersion3, 115.251983
3, G2StoneTileVersion2, G9TextileVersion3, 29.034279
1, G3Copper, G2StoneTileVersion3, 28.808084
3, G3Copper, G2CrushedRock, 41.253287
2, G8Paper, G2StoneTileVersion1, 26.717012
3, G8Paper, G4LaminatedWood, 60.953399
2, G4ProfiledWoodPlate, G9RedFleeze, 63.731547
7, G6Towel, G8GlitterPaperVersion1, 13.716347
8, G8GlitterPaperVersion2, G8RoughPaper, 32.858956
3, G6Towel, G3Copper, 18.119559
5, G2StoneTileVersion3, G2CrushedRock, 17.742429
2, G2StoneTileVersion3, G8Paper, 39.905478
1, G2StoneTileVersion2, G9RedVelvet, 54.828844
2, G4LaminatedWood, G9RedFleeze, 37.352215
2, G4WoodenPaper, G9TextileVersion4, 48.121728
4, G8Paper, G2CrushedRock, 21.843765
2, G2StoneTileVersion2, G8RoughPaper, 15.247038
3, G4Bamboo, G9Jeans, 152.10905
1, G9Jeans, G1ProfiledAluminumPlate, 42.664784
2, G2Brick, G8PlayingCardPaper, 28.34465
2, G2CrushedRock, G8GlitterPaperVersion1, 14.907953
2, G9TableClothVersion2, G2Brick, 27.35908
8, G2Marble, G2StoneTileVersion1, 51.308245
3, G8Paper, G2Brick, 50.877596
8, G8PlayingCardPaper, G9RedVelvet, 32.092082
9, G3Copper, G3AluminumPlate, 26.738676
2, G3StainlessSteel, G9RedVelvet, 37.23234
3, G3StainlessSteel, G2CrushedRock, 81.209185
7, G2CrushedRock, G2StoneTileVersion1, 58.785078
8, G9TextileVersion3, G8PlayingCardPaper, 2442.823635
4, G1ProfiledAluminumPlate, G3AluminumPlate, 53.673781
3, G3StainlessSteel, G4Larch, 40.37259
1, G6Towel, G4ProfiledWoodPlate, 26.168878
7, G4Bamboo, G4Larch, 436.51633
2, G2StoneTileVersion2, G9Jeans, 10.786123
2, G8PlayingCardPaper, G4Teak, 23.196034
1, G4LaminatedWood, G8RoughPaper, 13.585091
8, G6Towel, G9RedVelvet, 31.290189
6, G4CompressedWoodVersion1, G2CrushedRock, 38.759324
7, G6Towel, G9RedFleeze, 37.410565
4, G2StoneTileVersion1, G1ProfiledAluminumPlate, 14.605186
3, G9Jeans, G4CherryTree, 20.725812
8, G9TextileVersion3, G8RoughPaper, 10.687464
3, G3StainlessSteel, G2StoneTileVersion1, 10.492577
6, G4LaminatedWood, G4ProfiledWoodPlate, 76.864742
7, G9TableClothVersion2, G9TextileVersion4, 22.474216
3, G6Towel, G4WoodenPaper, 46.55765
5, G9TableClothVersion2, G2StoneTileVersion3, 133.435304
2, G2Marble, G8PlayingCardPaper, 13.22187
5, G2StoneTileVersion3, G4WoodenPaper, 29.808322
6, G2CrushedRock, G4Larch, 62.103371
2, G3Brass, G8Paper, 61.749862
2, G3Brass, G8Paper, 0.137124
3, G2Marble, G9RedFleeze, 42.470151
9, G9TextileVersion3, G8GlitterPaperVersion1, 49.321465
2, G2Marble, G8GlitterPaperVersion1, 51.753757
2, G9GreenVelvet, G2CrushedRock, 76.913935
7, G2Marble, G2Brick, 21.803548
3, G3Brass, G2StoneTileVersion1, 28.858207
8, G8PlayingCardPaper, G8GlitterPaperVersion1, 21.993527
9, G2StoneTileVersion2, G4CherryTree, 75.343236
3, G3Brass, G4Bamboo, 68.56783
2, G2Brick, G6Carpet, 33.531519
8, G2StoneTileVersion2, G4Teak, 54.180998
1, G1ProfiledAluminumPlate, G9RedFleeze, 18.705808
2, G3Copper, G9RedFleeze, 36.483039
1, G1ProfiledAluminumPlate, G9RedVelvet, 27.016845
2, G8GlitterPaperVersion2, G2StoneTileVersion3, 22.731428
2, G8GlitterPaperVersion2, G2StoneTileVersion3, 0.146515
8, G9TextileVersion3, G9Jeans, 12.892096
7, G4ProfiledWoodPlate, G2StoneTileVersion1, 64.013763
4, G8GlitterPaperVersion2, G2Marble, 38.892023
7, G2Brick, G4WoodenPaper, 78.07517
8, G9Jeans, G8GlitterPaperVersion1, 65.575852
1, G8GlitterPaperVersion1, G1ProfiledAluminumPlate, 41.80704
7, G2Brick, G4CherryTree, 36.864001
2, G2StoneTileVersion2, G9RedFleeze, 126.92255
2, G2StoneTileVersion2, G6Towel, 83.462106
9, G9GreenVelvet, G9RedVelvet, 89.369472
4, G8GlitterPaperVersion1, G3AluminumPlate, 29.807443
6, G3Copper, G1ProfiledAluminumPlate, 49.279069
5, G4Larch, G9RedFleeze, 49.46628
2, G4WoodenPaper, G8GlitterPaperVersion1, 56.129606
4, G2StoneTileVersion2, G3Brass, 25.661839
2, G4Bamboo, G8PlayingCardPaper, 57.845833
1, G8PlayingCardPaper, G3AluminumPlate, 32.832145
3, G2StoneTileVersion1, G9RedFleeze, 49.573054
3, G3StainlessSteel, G9Jeans, 41.983705
8, G9TableClothVersion2, G9TextileVersion3, 62.844212
7, G4LaminatedWood, G4Larch, 17.189611
5, G2StoneTileVersion2, G4LaminatedWood, 122.423163
8, G8GlitterPaperVersion2, G9RedVelvet, 101.00615
1, G4LaminatedWood, G9RedVelvet, 31.573729
8, G4WoodenPaper, G4ProfiledWoodPlate, 75.73691
3, G9TableClothVersion2, G3AluminumPlate, 56.538999
1, G2StoneTileVersion2, G8PlayingCardPaper, 25.610292
8, G2StoneTileVersion2, G4Bamboo, 122.859789
3, G2CrushedRock, G8RoughPaper, 23.026157
3, G8Paper, G3AluminumPlate, 82.248525
1, G9GreenVelvet, G1ProfiledAluminumPlate, 28.866983
2, G4CompressedWoodVersion1, G8GlitterPaperVersion1, 20.76591
2, G2CrushedRock, G8PlayingCardPaper, 57.23366
7, G4CompressedWoodVersion1, G2Brick, 19.319837
2, G4ProfiledWoodPlate, G3AluminumPlate, 107.300594
3, G2Brick, G8GlitterPaperVersion1, 70.562153
2, G8Paper, G4CherryTree, 77.157044
9, G6Carpet, G9RedVelvet, 96.159183
2, G2StoneTileVersion3, G8PlayingCardPaper, 95.283317
7, G4CompressedWoodVersion1, G4WoodenPaper, 95.323519
2, G9Jeans, G4Teak, 26.983714
1, G4CherryTree, G9RedVelvet, 26.9934
2, G6Towel, G2StoneTileVersion3, 48.478456
7, G4Teak, G4ProfiledWoodPlate, 100.423373
7, G4LaminatedWood, G3AluminumPlate, 94.791576
5, G3StainlessSteel, G2Marble, 59.806018
9, G2StoneTileVersion2, G2StoneTileVersion3, 65.152311
5, G3Brass, G2Marble, 75.632891
2, G8Paper, G4Larch, 119.626831
2, G6Towel, G4LaminatedWood, 65.953385
8, G2StoneTileVersion2, G4CompressedWoodVersion1, 45.023325
5, G2Marble, G3AluminumPlate, 35.255917
2, G3Copper, G9GreenVelvet, 67.376406
7, G2Marble, G4Larch, 25.731155
3, G3StainlessSteel, G9TextileVersion3, 78.573717
4, G9TableClothVersion2, G4CompressedWoodVersion1, 60.307883
2, G3StainlessSteel, G6Carpet, 66.936231
4, G3StainlessSteel, G4CherryTree, 43.539939
5, G3Brass, G2StoneTileVersion3, 64.809407
9, G9GreenVelvet, G8PlayingCardPaper, 17.595315
3, G8GlitterPaperVersion2, G2Brick, 26.65791
9, G8GlitterPaperVersion2, G6Carpet, 31.594788
8, G9TableClothVersion2, G4WoodenPaper, 16.406938
2, G2Marble, G9RedVelvet, 115.242143
7, G3Copper, G4Larch, 63.40553
4, G2StoneTileVersion3, G9GreenVelvet, 153.317127
2, G8Paper, G1ProfiledAluminumPlate, 44.24031
2, G9Jeans, G3AluminumPlate, 69.762901
3, G8GlitterPaperVersion2, G3Copper, 87.055357
9, G9Jeans, G6Carpet, 26.39452
3, G8Paper, G4Bamboo, 43.066536
5, G3Copper, G4Teak, 40.731715
3, G4CompressedWoodVersion1, G9GreenVelvet, 57.468897
9, G9RedFleeze, G9RedVelvet, 32.772524
1, G9GreenVelvet, G4ProfiledWoodPlate, 26.034374
3, G3Brass, G1ProfiledAluminumPlate, 20.889694
7, G2StoneTileVersion2, G2CrushedRock, 23.274571
9, G8RoughPaper, G9RedFleeze, 123.263938
9, G8Paper, G9GreenVelvet, 93.556714
2, G2CrushedRock, G6Carpet, 50.794802
2, G9TableClothVersion2, G4ProfiledWoodPlate, 154.380356
7, G2Marble, G4LaminatedWood, 58.92873
8, G8GlitterPaperVersion1, G6Carpet, 62.161312
8, G4Bamboo, G4Teak, 58.265092
2, G4Bamboo, G9RedVelvet, 87.367431
2, G9GreenVelvet, G4LaminatedWood, 76.211464
9, G9Jeans, G9RedVelvet, 65.161064
8, G8GlitterPaperVersion2, G9Jeans, 29.153049
5, G4WoodenPaper, G2StoneTileVersion1, 108.429663
3, G3StainlessSteel, G8RoughPaper, 32.049041
2, G9RedVelvet, G3AluminumPlate, 83.221635
3, G3Copper, G8PlayingCardPaper, 34.73477
7, G3StainlessSteel, G2StoneTileVersion2, 46.193568
6, G4WoodenPaper, G1ProfiledAluminumPlate, 71.57728
8, G8GlitterPaperVersion2, G9RedFleeze, 73.416297
3, G3Brass, G9RedFleeze, 65.304201
3, G2StoneTileVersion3, G8GlitterPaperVersion1, 80.617417
4, G2Marble, G1ProfiledAluminumPlate, 43.59762
9, G2StoneTileVersion2, G2StoneTileVersion1, 34.631374
3, G3Copper, G9TextileVersion3, 50.67965
4, G4ProfiledWoodPlate, G8GlitterPaperVersion1, 49.437929
5, G3StainlessSteel, G2Brick, 70.403833
1, G1ProfiledAluminumPlate, G8RoughPaper, 31.731777
4, G2StoneTileVersion2, G9TableClothVersion2, 64.954971
3, G3StainlessSteel, G8GlitterPaperVersion2, 41.568597
1, G4Teak, G9RedVelvet, 90.005483
2, G9TableClothVersion2, G4Teak, 19.453445
9, G8Paper, G6Carpet, 35.392594
4, G3Copper, G8GlitterPaperVersion1, 538.724719
9, G4Larch, G9RedVelvet, 30.826812
8, G6Towel, G8PlayingCardPaper, 13.948708
9, G6Towel, G8RoughPaper, 20.167814
2, G9GreenVelvet, G8RoughPaper, 15.031952
8, G2StoneTileVersion1, G4CherryTree, 74.730307
8, G4WoodenPaper, G4LaminatedWood, 15.491673
6, G3Copper, G4Bamboo, 13.869425
2, G2Brick, G9TextileVersion4, 107.813459
3, G9TableClothVersion2, G3Brass, 15.08491
6, G4Bamboo, G4LaminatedWood, 16.170525
1, G9GreenVelvet, G4Bamboo, 18.449598
2, G4Teak, G6Carpet, 46.059524
2, G9GreenVelvet, G4Teak, 14.164324
2, G9Jeans, G4Larch, 16.458991
1, G9TextileVersion3, G4WoodenPaper, 25.358768
6, G2StoneTileVersion2, G4WoodenPaper, 14.314272
3, G9TextileVersion3, G4Teak, 14.795749
4, G3Brass, G4CherryTree, 21.457074
8, G8GlitterPaperVersion1, G9RedFleeze, 13.764525
2, G8RoughPaper, G4CherryTree, 28.766257
3, G4WoodenPaper, G3AluminumPlate, 18.346808
7, G9GreenVelvet, G6Carpet, 18.077592
8, G6Towel, G9TableClothVersion2, 18.196823
9, G9Jeans, G9TextileVersion4, 17.358685
4, G2CrushedRock, G1ProfiledAluminumPlate, 21.324444
4, G3Copper, G2Brick, 118.751655
5, G3Brass, G9TextileVersion4, 22.934043
2, G6Towel, G2Brick, 15.937188
8, G9GreenVelvet, G9Jeans, 20.110245
